"","time","betalow","beta","betahigh"
"1",1,7.56848646040109e-05,8.336614492888e-05,9.18241561709515e-05
"2",2,7.56848646040109e-05,8.336614492888e-05,9.18241561709515e-05
"3",3,7.44059592149144e-05,8.20256242904028e-05,9.04230732895269e-05
"4",4,7.44059592149144e-05,8.20256242904028e-05,9.04230732895269e-05
"5",5,7.57359189185932e-05,8.34204682046613e-05,9.18821039054044e-05
"6",6,7.57359189185932e-05,8.34204682046613e-05,9.18821039054044e-05
"7",7,8.17248429291145e-05,8.98988666954386e-05,9.88881056942501e-05
"8",8,8.17248429291145e-05,8.98988666954386e-05,9.88881056942501e-05
"9",9,7.3576521369506e-05,8.0985269442747e-05,8.91374694451796e-05
"10",10,7.3576521369506e-05,8.0985269442747e-05,8.91374694451796e-05
"11",11,7.14998335634544e-05,7.8698514081805e-05,8.66195067290564e-05
"12",12,7.14998335634544e-05,7.8698514081805e-05,8.66195067290564e-05
"13",13,8.24966955718464e-05,9.05907768835186e-05,9.94769659919175e-05
"14",14,8.24966955718464e-05,9.05907768835186e-05,9.94769659919175e-05
"15",15,7.49062031844159e-05,8.24470988782142e-05,9.07457591835462e-05
"16",16,7.49062031844159e-05,8.24470988782142e-05,9.07457591835462e-05
"17",17,7.26995430469973e-05,7.99254791693277e-05,8.7868307417129e-05
"18",18,7.26995430469973e-05,7.99254791693277e-05,8.7868307417129e-05
"19",19,7.20118138818655e-05,7.91018468319456e-05,8.68882860173633e-05
"20",20,7.20118138818655e-05,7.91018468319456e-05,8.68882860173633e-05
"21",21,7.38278198515057e-05,8.09996463662577e-05,8.88663912888028e-05
"22",22,7.38278198515057e-05,8.09996463662577e-05,8.88663912888028e-05
"23",23,6.00981611586152e-05,6.59363425364846e-05,7.23398735567407e-05
"24",24,6.00981611586152e-05,6.59363425364846e-05,7.23398735567407e-05
"25",25,5.81707998902858e-05,6.3571190171674e-05,6.94705156698744e-05
"26",26,5.81707998902858e-05,6.3571190171674e-05,6.94705156698744e-05
"27",27,5.87552239962833e-05,6.40943726454634e-05,6.99161868547683e-05
"28",28,5.87552239962833e-05,6.40943726454634e-05,6.99161868547683e-05
"29",29,5.76802022126443e-05,6.28853889905157e-05,6.85579138019313e-05
"30",30,5.76802022126443e-05,6.28853889905157e-05,6.85579138019313e-05
"31",31,7.1356299087832e-05,7.78341787541886e-05,8.48963556970445e-05
"32",32,7.1356299087832e-05,7.78341787541886e-05,8.48963556970445e-05
"33",33,7.01456708127983e-05,7.67148593843926e-05,8.38956444193065e-05
"34",34,7.01456708127983e-05,7.67148593843926e-05,8.38956444193065e-05
"35",35,6.91551590450345e-05,7.57665124685441e-05,8.30073071944634e-05
"36",36,6.91551590450345e-05,7.57665124685441e-05,8.30073071944634e-05
"37",37,7.46223866553306e-05,8.18577068958505e-05,8.97913207723682e-05
"38",38,7.46223866553306e-05,8.18577068958505e-05,8.97913207723682e-05
"39",39,7.72793960635235e-05,8.49312527938146e-05,9.33381731920277e-05
"40",40,7.72793960635235e-05,8.49312527938146e-05,9.33381731920277e-05
"41",41,7.63141648589917e-05,8.40680274122529e-05,9.26073047601858e-05
"42",42,7.63141648589917e-05,8.40680274122529e-05,9.26073047601858e-05
"43",43,7.81591697534695e-05,8.6125370326165e-05,9.49014413553101e-05
"44",44,7.81591697534695e-05,8.6125370326165e-05,9.49014413553101e-05
"45",45,7.67669428363328e-05,8.46578888211259e-05,9.33582863839143e-05
"46",46,7.67669428363328e-05,8.46578888211259e-05,9.33582863839143e-05
"47",47,7.58521339437724e-05,8.35845235319731e-05,9.21033980811927e-05
"48",48,7.58521339437724e-05,8.35845235319731e-05,9.21033980811927e-05
"49",49,7.41022215514627e-05,8.17036829436653e-05,9.00830972827839e-05
"50",50,7.41022215514627e-05,8.17036829436653e-05,9.00830972827839e-05
"51",51,7.67041116020717e-05,8.44862563624067e-05,9.30553376408169e-05
"52",52,7.67041116020717e-05,8.44862563624067e-05,9.30553376408169e-05
