"","time","betalow","beta","betahigh"
"1",1,7.19312571703817e-05,7.73860819347912e-05,8.32427142696234e-05
"2",2,7.19312571703817e-05,7.73860819347912e-05,8.32427142696234e-05
"3",3,6.66749349113966e-05,7.17765591134514e-05,7.72579887501194e-05
"4",4,6.66749349113966e-05,7.17765591134514e-05,7.72579887501194e-05
"5",5,7.59247216940573e-05,8.16547078884347e-05,8.78064617936305e-05
"6",6,7.59247216940573e-05,8.16547078884347e-05,8.78064617936305e-05
"7",7,7.39290792971206e-05,7.95336427056104e-05,8.55532691852797e-05
"8",8,7.39290792971206e-05,7.95336427056104e-05,8.55532691852797e-05
"9",9,6.85269913871014e-05,7.37768160052698e-05,7.9419232731744e-05
"10",10,6.85269913871014e-05,7.37768160052698e-05,7.9419232731744e-05
"11",11,6.37232496471644e-05,6.85927402801139e-05,7.38255996709941e-05
"12",12,6.37232496471644e-05,6.85927402801139e-05,7.38255996709941e-05
"13",13,6.78889958718136e-05,7.29062611387794e-05,7.82856084679882e-05
"14",14,6.78889958718136e-05,7.29062611387794e-05,7.82856084679882e-05
"15",15,7.34782433083634e-05,7.89520404736109e-05,8.48238593574654e-05
"16",16,7.34782433083634e-05,7.89520404736109e-05,8.48238593574654e-05
"17",17,7.08219063828961e-05,7.61910922133279e-05,8.19568586178398e-05
"18",18,7.08219063828961e-05,7.61910922133279e-05,8.19568586178398e-05
"19",19,7.1109691077133e-05,7.64652867378763e-05,8.22142178193909e-05
"20",20,7.1109691077133e-05,7.64652867378763e-05,8.22142178193909e-05
"21",21,7.99051794735447e-05,8.6005528050033e-05,9.25604231151041e-05
"22",22,7.99051794735447e-05,8.6005528050033e-05,9.25604231151041e-05
"23",23,7.11162605616608e-05,7.66448086240939e-05,8.259343980653e-05
"24",24,7.11162605616608e-05,7.66448086240939e-05,8.259343980653e-05
"25",25,7.08285140635148e-05,7.6255431117946e-05,8.20887525451987e-05
"26",26,7.08285140635148e-05,7.6255431117946e-05,8.20887525451987e-05
"27",27,7.05854532769754e-05,7.59364302969539e-05,8.16836055254968e-05
"28",28,7.05854532769754e-05,7.59364302969539e-05,8.16836055254968e-05
"29",29,7.62567307725028e-05,8.20277645949246e-05,8.82254976889484e-05
"30",30,7.62567307725028e-05,8.20277645949246e-05,8.82254976889484e-05
"31",31,7.96246668361945e-05,8.57258919210993e-05,9.22839840440214e-05
"32",32,7.96246668361945e-05,8.57258919210993e-05,9.22839840440214e-05
"33",33,7.36190413181416e-05,7.93648879941515e-05,8.55485251641083e-05
"34",34,7.36190413181416e-05,7.93648879941515e-05,8.55485251641083e-05
"35",35,6.43473701893753e-05,6.92804358940203e-05,7.45815679772227e-05
"36",36,6.43473701893753e-05,6.92804358940203e-05,7.45815679772227e-05
"37",37,5.97306504877718e-05,6.41593777103131e-05,6.89074034126304e-05
"38",38,5.97306504877718e-05,6.41593777103131e-05,6.89074034126304e-05
"39",39,5.63421225167201e-05,6.03909688233901e-05,6.4722652173706e-05
"40",40,5.63421225167201e-05,6.03909688233901e-05,6.4722652173706e-05
"41",41,6.18125444104189e-05,6.61572620390289e-05,7.07983204335413e-05
"42",42,6.18125444104189e-05,6.61572620390289e-05,7.07983204335413e-05
"43",43,5.78849007750536e-05,6.2022434024071e-05,6.64465947143636e-05
"44",44,5.78849007750536e-05,6.2022434024071e-05,6.64465947143636e-05
"45",45,6.52031549436249e-05,6.97951839540623e-05,7.47008067622297e-05
"46",46,6.52031549436249e-05,6.97951839540623e-05,7.47008067622297e-05
"47",47,7.03194109588873e-05,7.5393823871093e-05,8.082436573858e-05
"48",48,7.03194109588873e-05,7.5393823871093e-05,8.082436573858e-05
"49",49,7.84370027497823e-05,8.4268338530296e-05,9.05219142726502e-05
"50",50,7.84370027497823e-05,8.4268338530296e-05,9.05219142726502e-05
"51",51,7.15733441269572e-05,7.70681096028722e-05,8.29746920180557e-05
"52",52,7.15733441269572e-05,7.70681096028722e-05,8.29746920180557e-05
